Processing FPS: 14.33 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.31 | Frames in Buffer: 1
Processing FPS: 14.31 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.30 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.32 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.30 | Video Playback FPS: 14.37 | Frames in Buffer: 0
Processing FPS: 14.30 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.28 | Frames in Buffer: 1
Processing FPS: 14.31 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 14.31 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.28 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.32 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.33 | Video Playback FPS: 14.35 | Frames in Buffer: 1
Processing FPS: 14.33 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.31 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.34 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.35 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.36 | Video Playback FPS: 14.35 | Frames in Buffer: 0
Processing FPS: 14.36 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.37 | Video Playback FPS: 14.34 | Frames in Buffer: 0
Processing FPS: 14.38 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.39 | Video Playback FPS: 14.41 | Frames in Buffer: 0
Processing FPS: 14.40 | Video Playback FPS: 14.41 | Frames in Buffer: 0
Processing FPS: 14.41 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.41 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.42 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.43 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.43 | Video Playback FPS: 14.40 | Frames in Buffer: 0
Processing FPS: 14.44 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.44 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.45 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.45 | Video Playback FPS: 14.41 | Frames in Buffer: 0
Processing FPS: 14.45 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.45 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.45 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.46 | Video Playback FPS: 14.41 | Frames in Buffer: 0
Processing FPS: 14.46 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.46 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.46 | Video Playback FPS: 14.48 | Frames in Buffer: 0
Processing FPS: 14.47 | Video Playback FPS: 14.47 | Frames in Buffer: 0
Processing FPS: 14.47 | Video Playback FPS: 14.41 | Frames in Buffer: 0
Processing FPS: 14.47 | Video Playback FPS: 14.47 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.44 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.51 | Frames in Buffer: 1
Processing FPS: 14.48 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.51 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.50 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.47 | Frames in Buffer: 0
Processing FPS: 14.49 | Video Playback FPS: 14.47 | Frames in Buffer: 1
Processing FPS: 14.49 | Video Playback FPS: 14.50 | Frames in Buffer: 0
Processing FPS: 14.48 | Video Playback FPS: 14.51 | Frames in Buffer: 0
