Processing FPS: 23.42 | Video Playback FPS: 24.14 | Frames in Buffer: 68
Processing FPS: 23.42 | Video Playback FPS: 24.24 | Frames in Buffer: 68
Processing FPS: 23.42 | Video Playback FPS: 24.35 | Frames in Buffer: 68
Processing FPS: 23.42 | Video Playback FPS: 24.44 | Frames in Buffer: 68
Processing FPS: 23.40 | Video Playback FPS: 24.54 | Frames in Buffer: 68
Processing FPS: 23.39 | Video Playback FPS: 24.62 | Frames in Buffer: 68
Processing FPS: 23.41 | Video Playback FPS: 24.71 | Frames in Buffer: 68
Processing FPS: 23.42 | Video Playback FPS: 24.80 | Frames in Buffer: 68
Processing FPS: 23.43 | Video Playback FPS: 24.89 | Frames in Buffer: 68
Processing FPS: 23.43 | Video Playback FPS: 24.96 | Frames in Buffer: 68
Processing FPS: 23.43 | Video Playback FPS: 25.03 | Frames in Buffer: 68
Processing FPS: 23.43 | Video Playback FPS: 25.10 | Frames in Buffer: 68
Processing FPS: 23.42 | Video Playback FPS: 25.17 | Frames in Buffer: 68
Processing FPS: 23.43 | Video Playback FPS: 25.23 | Frames in Buffer: 68
Processing FPS: 23.45 | Video Playback FPS: 25.29 | Frames in Buffer: 68
Processing FPS: 23.47 | Video Playback FPS: 25.35 | Frames in Buffer: 68
Processing FPS: 23.47 | Video Playback FPS: 25.40 | Frames in Buffer: 68
Processing FPS: 23.46 | Video Playback FPS: 25.44 | Frames in Buffer: 68
Processing FPS: 23.47 | Video Playback FPS: 25.48 | Frames in Buffer: 68
Processing FPS: 23.48 | Video Playback FPS: 25.51 | Frames in Buffer: 68
Processing FPS: 23.47 | Video Playback FPS: 25.54 | Frames in Buffer: 68
Processing FPS: 23.48 | Video Playback FPS: 25.57 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.59 | Frames in Buffer: 68
Processing FPS: 23.50 | Video Playback FPS: 25.64 | Frames in Buffer: 68
Processing FPS: 23.50 | Video Playback FPS: 25.71 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.74 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.77 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.78 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.80 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.80 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.81 | Frames in Buffer: 68
Processing FPS: 23.49 | Video Playback FPS: 25.82 | Frames in Buffer: 68
Processing FPS: 23.51 | Video Playback FPS: 25.82 | Frames in Buffer: 68
Processing FPS: 23.53 | Video Playback FPS: 25.81 | Frames in Buffer: 68
Processing FPS: 23.52 | Video Playback FPS: 25.80 | Frames in Buffer: 68
Processing FPS: 23.52 | Video Playback FPS: 25.79 | Frames in Buffer: 68
Processing FPS: 23.52 | Video Playback FPS: 25.78 | Frames in Buffer: 68
Processing FPS: 23.53 | Video Playback FPS: 25.77 | Frames in Buffer: 68
Processing FPS: 23.54 | Video Playback FPS: 25.75 | Frames in Buffer: 68
Processing FPS: 23.55 | Video Playback FPS: 25.73 | Frames in Buffer: 68
Processing FPS: 23.55 | Video Playback FPS: 25.73 | Frames in Buffer: 69
Processing FPS: 23.56 | Video Playback FPS: 25.70 | Frames in Buffer: 69
Processing FPS: 23.57 | Video Playback FPS: 25.68 | Frames in Buffer: 69
Processing FPS: 23.57 | Video Playback FPS: 25.65 | Frames in Buffer: 69
Processing FPS: 23.57 | Video Playback FPS: 25.62 | Frames in Buffer: 69
Processing FPS: 23.56 | Video Playback FPS: 25.59 | Frames in Buffer: 69
Processing FPS: 23.56 | Video Playback FPS: 25.55 | Frames in Buffer: 69
Processing FPS: 23.54 | Video Playback FPS: 25.52 | Frames in Buffer: 69
Processing FPS: 23.53 | Video Playback FPS: 25.49 | Frames in Buffer: 69
Processing FPS: 23.53 | Video Playback FPS: 25.45 | Frames in Buffer: 69
Processing FPS: 23.54 | Video Playback FPS: 25.41 | Frames in Buffer: 69
Processing FPS: 23.54 | Video Playback FPS: 25.36 | Frames in Buffer: 69
Processing FPS: 23.53 | Video Playback FPS: 25.32 | Frames in Buffer: 69
Processing FPS: 23.53 | Video Playback FPS: 25.27 | Frames in Buffer: 69
Processing FPS: 23.50 | Video Playback FPS: 25.21 | Frames in Buffer: 69
Processing FPS: 23.48 | Video Playback FPS: 25.17 | Frames in Buffer: 69
Processing FPS: 23.48 | Video Playback FPS: 25.12 | Frames in Buffer: 69
Processing FPS: 23.48 | Video Playback FPS: 25.06 | Frames in Buffer: 69
Processing FPS: 23.49 | Video Playback FPS: 25.00 | Frames in Buffer: 69
Processing FPS: 23.49 | Video Playback FPS: 24.94 | Frames in Buffer: 69
Processing FPS: 23.49 | Video Playback FPS: 24.88 | Frames in Buffer: 69
Processing FPS: 23.49 | Video Playback FPS: 24.82 | Frames in Buffer: 69
Processing FPS: 23.49 | Video Playback FPS: 24.75 | Frames in Buffer: 69
Processing FPS: 23.47 | Video Playback FPS: 24.68 | Frames in Buffer: 69
Processing FPS: 23.46 | Video Playback FPS: 24.62 | Frames in Buffer: 69
Processing FPS: 23.46 | Video Playback FPS: 24.54 | Frames in Buffer: 69
Processing FPS: 23.46 | Video Playback FPS: 24.47 | Frames in Buffer: 69
Processing FPS: 23.47 | Video Playback FPS: 24.40 | Frames in Buffer: 69
