Processing FPS: 39.66 | Video Playback FPS: 39.58 | Frames in Buffer: 0
Processing FPS: 39.71 | Video Playback FPS: 39.62 | Frames in Buffer: 0
Processing FPS: 39.67 | Video Playback FPS: 39.66 | Frames in Buffer: 0
Processing FPS: 39.70 | Video Playback FPS: 39.67 | Frames in Buffer: 0
Processing FPS: 39.70 | Video Playback FPS: 39.62 | Frames in Buffer: 0
Processing FPS: 39.67 | Video Playback FPS: 39.66 | Frames in Buffer: 0
Processing FPS: 39.68 | Video Playback FPS: 39.62 | Frames in Buffer: 0
Processing FPS: 39.75 | Video Playback FPS: 39.69 | Frames in Buffer: 0
Processing FPS: 39.77 | Video Playback FPS: 39.73 | Frames in Buffer: 0
Processing FPS: 39.80 | Video Playback FPS: 39.77 | Frames in Buffer: 0
Processing FPS: 39.87 | Video Playback FPS: 39.77 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.82 | Frames in Buffer: 0
Processing FPS: 39.83 | Video Playback FPS: 39.74 | Frames in Buffer: 0
Processing FPS: 39.85 | Video Playback FPS: 39.79 | Frames in Buffer: 0
Processing FPS: 39.80 | Video Playback FPS: 39.80 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.78 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.82 | Frames in Buffer: 0
Processing FPS: 39.94 | Video Playback FPS: 39.87 | Frames in Buffer: 0
Processing FPS: 39.96 | Video Playback FPS: 39.90 | Frames in Buffer: 0
Processing FPS: 39.92 | Video Playback FPS: 39.93 | Frames in Buffer: 0
Processing FPS: 39.86 | Video Playback FPS: 39.89 | Frames in Buffer: 0
Processing FPS: 39.82 | Video Playback FPS: 39.83 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.82 | Frames in Buffer: 0
Processing FPS: 39.85 | Video Playback FPS: 39.76 | Frames in Buffer: 0
Processing FPS: 39.77 | Video Playback FPS: 39.77 | Frames in Buffer: 0
Processing FPS: 39.75 | Video Playback FPS: 39.69 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.71 | Frames in Buffer: 0
Processing FPS: 39.80 | Video Playback FPS: 39.75 | Frames in Buffer: 0
Processing FPS: 39.76 | Video Playback FPS: 39.75 | Frames in Buffer: 0
Processing FPS: 39.86 | Video Playback FPS: 39.74 | Frames in Buffer: 0
Processing FPS: 39.80 | Video Playback FPS: 39.80 | Frames in Buffer: 0
Processing FPS: 39.76 | Video Playback FPS: 39.71 | Frames in Buffer: 0
Processing FPS: 39.79 | Video Playback FPS: 39.69 | Frames in Buffer: 0
Processing FPS: 39.90 | Video Playback FPS: 39.77 | Frames in Buffer: 0
Processing FPS: 39.91 | Video Playback FPS: 39.85 | Frames in Buffer: 0
Processing FPS: 39.94 | Video Playback FPS: 39.86 | Frames in Buffer: 0
Processing FPS: 39.92 | Video Playback FPS: 39.91 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.88 | Frames in Buffer: 0
Processing FPS: 39.98 | Video Playback FPS: 39.88 | Frames in Buffer: 0
Processing FPS: 39.93 | Video Playback FPS: 39.95 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 39.89 | Frames in Buffer: 0
Processing FPS: 40.06 | Video Playback FPS: 40.02 | Frames in Buffer: 0
Processing FPS: 40.06 | Video Playback FPS: 40.03 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 40.01 | Frames in Buffer: 0
Processing FPS: 40.02 | Video Playback FPS: 39.96 | Frames in Buffer: 0
Processing FPS: 40.08 | Video Playback FPS: 40.00 | Frames in Buffer: 0
Processing FPS: 40.14 | Video Playback FPS: 40.04 | Frames in Buffer: 0
Processing FPS: 40.15 | Video Playback FPS: 40.12 | Frames in Buffer: 0
Processing FPS: 40.20 | Video Playback FPS: 40.11 | Frames in Buffer: 0
Processing FPS: 40.22 | Video Playback FPS: 40.14 | Frames in Buffer: 0
Processing FPS: 40.27 | Video Playback FPS: 40.25 | Frames in Buffer: 0
Processing FPS: 40.27 | Video Playback FPS: 40.26 | Frames in Buffer: 0
Processing FPS: 40.27 | Video Playback FPS: 40.25 | Frames in Buffer: 0
Processing FPS: 40.20 | Video Playback FPS: 40.22 | Frames in Buffer: 0
Processing FPS: 40.15 | Video Playback FPS: 40.12 | Frames in Buffer: 0
Processing FPS: 40.10 | Video Playback FPS: 40.08 | Frames in Buffer: 0
Processing FPS: 40.06 | Video Playback FPS: 40.03 | Frames in Buffer: 0
Processing FPS: 40.04 | Video Playback FPS: 40.00 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 39.95 | Frames in Buffer: 0
Processing FPS: 39.98 | Video Playback FPS: 39.93 | Frames in Buffer: 0
Processing FPS: 39.98 | Video Playback FPS: 39.91 | Frames in Buffer: 0
Processing FPS: 39.99 | Video Playback FPS: 39.94 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 39.96 | Frames in Buffer: 0
Processing FPS: 39.95 | Video Playback FPS: 39.94 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 39.92 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 40.01 | Frames in Buffer: 0
Processing FPS: 39.94 | Video Playback FPS: 39.96 | Frames in Buffer: 0
Processing FPS: 39.90 | Video Playback FPS: 39.92 | Frames in Buffer: 0
Processing FPS: 39.96 | Video Playback FPS: 39.87 | Frames in Buffer: 0
Processing FPS: 39.94 | Video Playback FPS: 39.91 | Frames in Buffer: 0
Processing FPS: 39.92 | Video Playback FPS: 39.86 | Frames in Buffer: 0
Processing FPS: 39.97 | Video Playback FPS: 39.92 | Frames in Buffer: 0
Processing FPS: 39.93 | Video Playback FPS: 39.96 | Frames in Buffer: 0
Processing FPS: 39.97 | Video Playback FPS: 39.87 | Frames in Buffer: 0
Processing FPS: 39.97 | Video Playback FPS: 39.94 | Frames in Buffer: 0
Processing FPS: 39.91 | Video Playback FPS: 39.88 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.88 | Frames in Buffer: 0
Processing FPS: 39.87 | Video Playback FPS: 39.82 | Frames in Buffer: 0
Processing FPS: 39.86 | Video Playback FPS: 39.85 | Frames in Buffer: 0
Processing FPS: 39.93 | Video Playback FPS: 39.82 | Frames in Buffer: 0
Processing FPS: 39.95 | Video Playback FPS: 39.90 | Frames in Buffer: 0
Processing FPS: 39.94 | Video Playback FPS: 39.89 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.85 | Frames in Buffer: 0
Processing FPS: 39.88 | Video Playback FPS: 39.87 | Frames in Buffer: 0
Processing FPS: 39.91 | Video Playback FPS: 39.85 | Frames in Buffer: 0
Processing FPS: 39.94 | Video Playback FPS: 39.83 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 39.92 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 39.97 | Frames in Buffer: 0
Processing FPS: 40.00 | Video Playback FPS: 39.96 | Frames in Buffer: 0
Processing FPS: 40.01 | Video Playback FPS: 39.95 | Frames in Buffer: 0
Processing FPS: 39.98 | Video Playback FPS: 39.95 | Frames in Buffer: 0
Processing FPS: 39.98 | Video Playback FPS: 39.94 | Frames in Buffer: 0
Processing FPS: 39.94 | Video Playback FPS: 39.90 | Frames in Buffer: 0
Processing FPS: 39.86 | Video Playback FPS: 39.89 | Frames in Buffer: 0
Processing FPS: 39.81 | Video Playback FPS: 39.77 | Frames in Buffer: 0
