Processing FPS: 28.07 | Video Playback FPS: 17.30 | Frames in Buffer: 100
Processing FPS: 28.06 | Video Playback FPS: 17.47 | Frames in Buffer: 100
Processing FPS: 28.07 | Video Playback FPS: 17.65 | Frames in Buffer: 100
Processing FPS: 28.04 | Video Playback FPS: 17.83 | Frames in Buffer: 100
Processing FPS: 28.06 | Video Playback FPS: 18.01 | Frames in Buffer: 100
Processing FPS: 28.05 | Video Playback FPS: 18.36 | Frames in Buffer: 99
Processing FPS: 28.08 | Video Playback FPS: 18.55 | Frames in Buffer: 99
Processing FPS: 28.10 | Video Playback FPS: 18.74 | Frames in Buffer: 99
Processing FPS: 28.09 | Video Playback FPS: 18.93 | Frames in Buffer: 99
Processing FPS: 28.06 | Video Playback FPS: 19.13 | Frames in Buffer: 99
Processing FPS: 28.06 | Video Playback FPS: 19.32 | Frames in Buffer: 99
Processing FPS: 28.06 | Video Playback FPS: 19.51 | Frames in Buffer: 99
Processing FPS: 28.04 | Video Playback FPS: 19.88 | Frames in Buffer: 98
Processing FPS: 28.06 | Video Playback FPS: 20.07 | Frames in Buffer: 98
Processing FPS: 28.09 | Video Playback FPS: 20.26 | Frames in Buffer: 98
Processing FPS: 28.13 | Video Playback FPS: 20.44 | Frames in Buffer: 98
Processing FPS: 28.14 | Video Playback FPS: 20.62 | Frames in Buffer: 98
Processing FPS: 28.13 | Video Playback FPS: 20.82 | Frames in Buffer: 98
Processing FPS: 28.12 | Video Playback FPS: 21.00 | Frames in Buffer: 98
Processing FPS: 28.14 | Video Playback FPS: 21.18 | Frames in Buffer: 98
Processing FPS: 28.16 | Video Playback FPS: 21.35 | Frames in Buffer: 98
Processing FPS: 28.18 | Video Playback FPS: 21.52 | Frames in Buffer: 98
Processing FPS: 28.16 | Video Playback FPS: 21.69 | Frames in Buffer: 98
Processing FPS: 28.16 | Video Playback FPS: 21.69 | Frames in Buffer: 99
Processing FPS: 28.14 | Video Playback FPS: 21.85 | Frames in Buffer: 99
Processing FPS: 28.15 | Video Playback FPS: 22.02 | Frames in Buffer: 99
Processing FPS: 28.17 | Video Playback FPS: 22.18 | Frames in Buffer: 99
Processing FPS: 28.18 | Video Playback FPS: 22.35 | Frames in Buffer: 99
Processing FPS: 28.16 | Video Playback FPS: 22.50 | Frames in Buffer: 99
